,ds,y
361,2015-06-12,61.33
362,2015-06-15,63.76
363,2015-06-16,63.19
364,2015-06-17,60.75
365,2015-06-18,61.37
366,2015-06-19,60.99
367,2015-06-22,61.37
368,2015-06-23,59.41
369,2015-06-24,61.63
370,2015-06-25,60.24
371,2015-06-26,60.54
372,2015-06-29,60.24
373,2015-06-30,60.14
374,2015-07-01,61.65
375,2015-07-02,61.73
376,2015-07-06,61.73
377,2015-07-07,59.06
378,2015-07-08,55.7
379,2015-07-09,57.83
380,2015-07-10,57.19
381,2015-07-13,57.83
382,2015-07-14,57.72
383,2015-07-15,57.34
384,2015-07-16,57.31
385,2015-07-17,57.63
386,2015-07-20,57.31
387,2015-07-21,56.38
388,2015-07-22,56.36
389,2015-07-23,55.76
390,2015-07-24,56.42
391,2015-07-27,55.76
392,2015-07-28,54.29
393,2015-07-29,54.73
394,2015-07-30,54.29
395,2015-07-31,54.07
396,2015-08-03,54.29
397,2015-08-04,53.29
398,2015-08-05,49.04
399,2015-08-06,47.8
400,2015-08-07,49.49
401,2015-08-10,47.8
402,2015-08-11,47.54
403,2015-08-12,48.29
404,2015-08-13,48.01
405,2015-08-14,48.3
406,2015-08-17,48.01
407,2015-08-18,47.79
408,2015-08-19,45.75
409,2015-08-20,45.63
410,2015-08-21,47.77
411,2015-08-24,45.63
412,2015-08-25,43.84
413,2015-08-26,47.76
414,2015-08-27,44.46
415,2015-08-28,41.59
416,2015-08-31,44.46
417,2015-09-01,47.97
418,2015-09-02,47.67
419,2015-09-03,50.41
420,2015-09-04,48.59
421,2015-09-08,48.59
422,2015-09-09,48.04
423,2015-09-10,47.77
424,2015-09-11,46.42
425,2015-09-14,47.77
426,2015-09-15,46.87
427,2015-09-16,49.35
428,2015-09-17,48.27
429,2015-09-18,45.87
430,2015-09-21,48.27
431,2015-09-22,47.28
432,2015-09-23,48.0
433,2015-09-24,47.06
434,2015-09-25,47.64
435,2015-09-28,47.06
436,2015-09-29,47.28
437,2015-09-30,47.29
438,2015-10-01,47.48
439,2015-10-02,46.04
440,2015-10-05,47.48
441,2015-10-06,46.55
442,2015-10-07,51.66
443,2015-10-08,52.13
444,2015-10-09,49.45
445,2015-10-12,52.13
446,2015-10-13,52.08
447,2015-10-14,48.25
448,2015-10-15,47.87
449,2015-10-16,50.95
450,2015-10-19,47.87
451,2015-10-20,48.96
452,2015-10-21,46.72
453,2015-10-22,46.59
454,2015-10-23,47.51
455,2015-10-26,46.59
456,2015-10-27,46.3
457,2015-10-28,47.6
458,2015-10-29,48.04
459,2015-10-30,46.57
460,2015-11-02,48.04
461,2015-11-03,48.0
462,2015-11-04,46.96
463,2015-11-05,47.19
464,2015-11-06,47.91
465,2015-11-09,47.19
466,2015-11-10,46.09
467,2015-11-11,44.98
468,2015-11-12,44.98
469,2015-11-13,45.38
470,2015-11-16,44.98
471,2015-11-17,41.98
472,2015-11-18,41.45
473,2015-11-19,42.22
474,2015-11-20,40.28
475,2015-11-23,42.22
476,2015-11-24,42.49
477,2015-11-25,43.56
478,2015-11-27,43.7
479,2015-11-30,43.55
480,2015-12-01,43.07
481,2015-12-02,41.92
482,2015-12-03,42.0
483,2015-12-04,43.73
484,2015-12-07,42.0
485,2015-12-08,41.44
486,2015-12-09,39.04
487,2015-12-10,38.65
488,2015-12-11,39.69
489,2015-12-14,38.65
490,2015-12-15,36.99
491,2015-12-16,36.96
492,2015-12-17,36.29
493,2015-12-18,36.51
494,2015-12-21,36.29
495,2015-12-22,36.76
496,2015-12-23,35.79
497,2015-12-24,37.22
498,2015-12-28,37.22
499,2015-12-29,36.85
500,2015-12-30,35.65
501,2015-12-31,36.61
502,2016-01-04,36.61
503,2016-01-05,35.56
504,2016-01-06,33.89
505,2016-01-07,33.57
506,2016-01-08,36.28
507,2016-01-11,33.57
508,2016-01-12,31.67
509,2016-01-13,28.58
510,2016-01-14,28.84
511,2016-01-15,30.14
512,2016-01-19,28.8
513,2016-01-20,26.01
514,2016-01-21,27.59
515,2016-01-22,27.36
516,2016-01-25,27.59
517,2016-01-26,30.46
518,2016-01-27,31.83
519,2016-01-28,33.01
520,2016-01-29,29.82
521,2016-02-01,33.01
522,2016-02-02,33.14
523,2016-02-03,32.38
524,2016-02-04,32.76
525,2016-02-05,32.45
526,2016-02-08,32.76
527,2016-02-09,32.35
528,2016-02-10,29.64
529,2016-02-11,28.82
530,2016-02-12,31.64
531,2016-02-16,31.8
532,2016-02-17,33.21
533,2016-02-18,33.2
534,2016-02-19,31.66
535,2016-02-22,33.2
536,2016-02-23,31.66
537,2016-02-24,33.59
538,2016-02-25,33.59
539,2016-02-26,31.9
540,2016-02-29,35.76
541,2016-03-01,35.73
542,2016-03-02,36.38
543,2016-03-03,35.92
544,2016-03-04,35.73
545,2016-03-07,37.61
546,2016-03-08,39.02
547,2016-03-09,40.26
548,2016-03-10,39.02
549,2016-03-11,39.16
550,2016-03-14,39.41
551,2016-03-15,37.49
552,2016-03-16,38.38
553,2016-03-17,38.06
554,2016-03-18,37.49
555,2016-03-21,39.26
556,2016-03-22,40.54
557,2016-03-23,38.84
558,2016-03-24,39.91
559,2016-03-28,38.33
560,2016-03-29,36.75
561,2016-03-30,36.75
562,2016-03-31,38.33
563,2016-04-01,36.75
564,2016-04-04,36.42
565,2016-04-05,35.88
566,2016-04-06,37.77
567,2016-04-07,36.05
568,2016-04-08,35.88
569,2016-04-11,40.71
570,2016-04-12,43.02
571,2016-04-13,42.81
572,2016-04-14,41.58
573,2016-04-15,43.02
574,2016-04-18,41.32
575,2016-04-19,43.02
576,2016-04-20,43.09
577,2016-04-21,41.64
578,2016-04-22,43.02
579,2016-04-25,43.97
580,2016-04-26,41.67
581,2016-04-27,44.17
582,2016-04-28,42.97
583,2016-04-29,43.94
584,2016-05-02,45.64
585,2016-05-03,43.09
586,2016-05-04,43.08
587,2016-05-05,45.82
588,2016-05-06,43.09
589,2016-05-09,44.6
590,2016-05-10,44.01
591,2016-05-11,46.08
592,2016-05-12,42.43
593,2016-05-13,44.01
594,2016-05-16,47.05
595,2016-05-17,48.71
596,2016-05-18,48.93
597,2016-05-19,48.49
598,2016-05-20,48.71
599,2016-05-23,48.54
600,2016-05-24,48.42
601,2016-05-25,48.87
602,2016-05-26,47.77
603,2016-05-27,48.42
604,2016-05-31,48.81
605,2016-06-01,49.05
606,2016-06-02,49.26
607,2016-06-03,48.81
608,2016-06-06,48.94
609,2016-06-07,50.37
610,2016-06-08,51.23
611,2016-06-09,49.71
612,2016-06-10,50.37
613,2016-06-13,49.09
614,2016-06-14,47.88
615,2016-06-15,47.47
616,2016-06-16,49.36
617,2016-06-17,47.88
618,2016-06-20,46.57
619,2016-06-21,48.18
620,2016-06-22,48.43
